iter	Passed	Remaining
638	8841	4994
639	8855	4981
640	8873	4969
641	8885	4954
642	8907	4945
643	8923	4932
644	8947	4924
645	8968	4914
646	8986	4902
647	9012	4895
648	9041	4890
649	9079	4888
650	9155	4908
651	9196	4908
652	9222	4900
653	9239	4888
654	9254	4874
655	9275	4864
656	9299	4854
657	9324	4846
658	9340	4833
659	9368	4826
660	9387	4814
661	9396	4797
662	9411	4784
663	9423	4768
664	9440	4755
665	9456	4742
666	9483	4734
667	9500	4721
668	9520	4710
669	9536	4697
670	9550	4682
671	9568	4670
672	9605	4667
673	9631	4658
674	9649	4645
675	9671	4635
676	9696	4626
677	9712	4612
678	9720	4595
679	9730	4579
680	9737	4561
681	9746	4544
682	9756	4528
683	9765	4511
684	9775	4495
685	9792	4482
686	9805	4467
687	9823	4454
688	9841	4442
689	9854	4427
690	9878	4417
691	9912	4411
692	9940	4403
693	9960	4391
694	9984	4381
695	9995	4365
696	10020	4356
697	10040	4344
698	10058	4331
699	10079	4319
700	10105	4310
701	10122	4297
702	10135	4281
703	10156	4270
704	10188	4263
705	10213	4253
706	10224	4237
707	10237	4222
708	10248	4206
709	10262	4191
710	10284	4180
711	10293	4163
712	10303	4147
713	10318	4133
714	10329	4117
715	10340	4101
716	10354	4086
717	10369	4072
718	10401	4065
719	10420	4052
720	10435	4038
721	10453	4024
722	10483	4016
723	10514	4008
724	10524	3992
725	10542	3978
726	10553	3963
727	10569	3949
728	10598	3939
729	10630	3931
730	10640	3915
731	10651	3899
732	10679	3890
733	10694	3875
734	10706	3860
735	10728	3848
736	10744	3834
737	10764	3821
738	10780	3807
739	10794	3792
740	10810	3778
741	10831	3766
742	10847	3751
743	10860	3736
744	10882	3724
745	10910	3714
746	10943	3706
747	10958	3691
748	10973	3677
749	10993	3664
750	11011	3650
751	11038	3640
752	11053	3625
753	11063	3609
754	11093	3599
755	11116	3587
756	11139	3575
757	11155	3561
758	11168	3546
759	11188	3533
760	11218	3523
761	11238	3510
762	11255	3496
763	11290	3487
764	11321	3477
765	11353	3468
766	11375	3455
767	11419	3449
768	11453	3440
769	11468	3425
770	11484	3411
771	11503	3397
772	11522	3383
773	11547	3371
774	11567	3358
775	11582	3343
776	11604	3330
777	11622	3316
778	11653	3306
779	11664	3290
780	11672	3273
781	11704	3262
782	11718	3247
783	11736	3233
784	11752	3218
785	11765	3203
786	11778	3187
787	11795	3173
788	11803	3156
789	11814	3140
790	11820	3123
791	11836	3108
792	11847	3092
793	11855	3075
794	11861	3058
795	11867	3041
796	11875	3024
797	11879	3007
798	11890	2991
